Vendor Categories,,,,
"Law office of Julie Frances, P.C.",,,,
All Dates,,,,

,Account name,Transaction date,Memo/Description,Full name
Brian Terry,,,,
,Cash-ATC-PC Operating Account,01/01/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/01/2022,,Due to Client
,Cash-ATC-PC Operating Account,01/01/2022,,Cash-ATC-PC Escrow Account
,Cash-ATC-PC Operating Account,01/01/2022,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,02/02/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/02/2022,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,03/03/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/03/2022,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,05/20/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/20/2022,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,06/19/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/19/2022,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,09/13/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,09/13/2022,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,10/21/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,10/21/2022,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,11/27/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,11/27/2022,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,03/10/2023,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/10/2023,,Accounts Receivable
,Cash-ATC-PC Operating Account,04/02/2023,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/02/2023,,Accounts Receivable
,Cash-ATC-PC Operating Account,04/06/2023,MyCase/WEB PMTS The Law Office of Juli,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/06/2023,MyCase/WEB PMTS The Law Office of Juli,Prepaid Client expenses
,Cash-ATC-PC Operating Account,05/09/2023,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/09/2023,,Accounts Receivable
,Cash-ATC-PC Operating Account,05/11/2023,MyCase/WEB PMTS The Law Office of Juli,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/11/2023,MyCase/WEB PMTS The Law Office of Juli,Prepaid Client expenses
,Cash-ATC-PC Operating Account,06/12/2023,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/12/2023,,Accounts Receivable
,Cash-ATC-PC Operating Account,06/14/2023,MyCase/WEB PMTS The Law Office of Juli,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/14/2023,MyCase/WEB PMTS The Law Office of Juli,Prepaid Client expenses
,Cash-ATC-PC Operating Account,01/19/2024,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/19/2024,,Accounts Receivable
,Cash-ATC-PC Operating Account,02/14/2024,Deposit,Cash-ATC-PC Operating Account
